,id,native,language,text
6637,20153,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]",I'm a man interested in improving my language skills in English and French I can offer my Spanish and Catalan
6638,20154,Spanish<br/>Catalan,"[{'language': 'Dutch', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","!✨☁️nice to meet you:) I'm here because I want to know more Dutch but It's ok if I can practise English and Japanese as well, or maybe just discovering new cultures:P Besides, it's always fun to make new friends right?"
6639,20155,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I would like to practise my english to feel more free to speak it. Ideally, I would love to talk about topics related to cars, engineering or motorspors such as F1. I can help you with your Spanish or Catalan :)"
6640,20157,Spanish<br/>Catalan,"[{'language': 'Polish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I´m learning a foreign language to discover new cultures, exchanging impressions, experiences..."
6641,20158,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I would like to find someone with common interests in order to have subjects to talk about and practice the language while having fun. I'm not in this site to find a partner, etc. I am a catalan living in Buenos Aires. We catalans speak spanish as good as catalan. I love teaching languages, I put examples and help the other understanding the language structure. I don't need someone with a gramatical vocabulary but I really need someone who loves helping others to learn."
6642,20160,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I've been studying English for four years and I think a good way to improve faster my language skills, is practicing it with natives or with fluently speakers. ), I work as a bus driver long hours a day also I'm still attending classes twice a week, Monday and Wednesday from 4pm to 6:30pm. Thursday, Friday, or Sturdays and Sundays off from 7pm to 9pm would be a good time for me."
6644,20162,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'd would like to improve my spoken English by talking with native speakers, to try to improve my accent and vocabulary. On the other hand my mother tongue is catalan and spanish and I could improve the language to my collegue."
6645,20163,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi all, this is Xavier. I am looking for someone to improve my English speaking skills and help with the Spanish/Catalan languages. London Camden based."
6646,20165,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my English and I could help you with your Spanish or Catalan. I have a lot of free time, we can practice in person or by phone (video, voice or messages). I can help you with catalan/valencian language too."
6647,20166,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}]",I would like to improve my English listening and speaking. I can help you with your Spanish or Catalan.
6648,20167,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Hi there! This is Sergi from Barcelona. I'm 33 and I'm working as a Primary School teacher. I'm looking for someone to exchange my Catalan or Spanish with your english. Thanks in advance!
6649,20168,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am Rosa primary school teatcher retired, with many cultural interests. I really like contact with nature and sports.I have three children betwen 32 and 25 years old, I like to share time with them. I woul like to practice to gain fluency in English and cultural exchange."
6650,20170,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]",I'm studying english at level B1 in the UNED. I want to improve my conversation and writing.
6651,20171,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi everyone, Currently I’m studying English and I’d like to practice speaking at the same time a meet people and talk about anything. I can help you with your Spanish or Catalan."
6652,20172,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I'm looking for English native speakers to practice this language and become more fluent. I can help you with Spanish :)
6653,20176,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my English. First of all, I only want to read and write. I'm a swimming teacher from all ages and I also work in a gym. I'd like to help you with your Spanish or Catalan."
6654,20178,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to speak with other people to improve my english, and also help improve others spanish and catalan!"
6655,20179,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Esther, I'm from Barcelona and I'd love to practice my English by chatting with a native speaker. In exchange I can help you with your Spanish and/or Catalan. Thanks."
6656,20180,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to improve my English level, I’m studying English at University and I want to improve at writing it."
6657,20181,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","** Update: I need a rock climbing partner ** I need to improve my conversation level in English. Having a beer or coffee is always a great way to do it. And I can help you with Spanish, for sure. I love cycling, reading, nature and climbing. Startups and online business are topics I like to talk about. Knowing new cultures and people is something that I love. I am nice and friendly :)"
6658,20182,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Daniel, a software developer from Barcelona. I would like to meet someone face to face, to practice and improve my English. I can help you with Spanish and Catalan. I started with Japanese, but I'm not fluent enough to have a conversation."
6659,20183,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm a young boy that want to learn english. Now I'm doing grammar and listenings but I prefer to speak with somebody in english.
6660,20184,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I m a mother and engineer If you are a mother, i think That i can Exchange spanish and catalán with your English! Please only native English! I am a native spanish"
6661,20186,Spanish<br/>Catalan,"[{'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I’m from Spain and I would like to learn English. And I'm also learning German.
6662,20188,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi This is Jordi, native from Barcelona. Living and working here in Bay Area since JAN19. I speak Spanish (not Mexican) and Catalan."
6663,20190,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm looking for the opportunity to practise my english conversation online thougt a video chat with people around de world.
6664,20193,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]","I want to exchange my Spanish or Catalan for you English or French. I am eager to learn, see you soon"
6665,20194,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello everybody, I'd like to find someone who wants to improve her/his Spanish skills or Catalan skills, i return you can help me with my English. I find interesting courses in English but my level it's not enough and I've doubts all the time to write or to speak...my level is intermediate but I don't mind if you have elementary level, I'm a patient teacher. Let me know and we can see."
6667,20196,Spanish<br/>Catalan,"[{'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Romanian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I speak catalan and my second lenguages is spanish. I would like to improve my english and learn also russian, germany and romanian. I like also to know people and cultures from another countries."
6668,20198,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to improve and practice my speaking English.
6669,20199,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Cristina from Barcelona, Spain. I am 27 years old and I have a degree in Marketing and Communication. The aim of subscribing to this website is to improve my English through language exchange; improving my communication skills, especially in speaking fluently."
6670,20200,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey! I’m a native Spanish and Catalan speaker living in BCN and I will need to improve my English speaking. I love travelling, playing sports and reading books. If you will like to practice Spanish or Catalan with a real native, get in touch!"
6671,20204,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to improve my English level. Currently I have a B2 but I want to develop my knowledge of this language. Greetings from Spain!
6672,20206,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Sara and I would like to practise my english. I have not practiced english for four years and now my level is low, but I really want to improve it because I like travelling so I need it. I live in Barcelona and in my free time I like horse riding and going to the gym."
6673,20207,Spanish<br/>Catalan,"[{'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'French', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",No Whatsapp ------ Hello! I need to improve and practise my spoken English. I can help you with Spanish and Catalan.
6674,20209,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi guys, I would like to improve my fluent in English and I could help you with your Spanish or Catalan in exchange. I am a easy-going person and open-minded person from Barcelona and I am passionate of travelling and to know new people, cultures, history and, specially what they do in their normal life, what they eat, what they drink."
6676,20214,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm learning English and I'm here to see if I can practice conversation to become more fluent."
6677,20216,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm Lidia and I would like to improve my English skills and help others with Spanish. I enjoy staying busy and learning from other cultures.
6678,20219,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm looking for people to practice english-catalan/spanish taking a coffe
6679,20220,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, It's Albert and I'd like to improve my English, I can help you to learn Catalan or Spanish. I'm living in Palma - Mallorca tarruc38 hotmail.com See you soon."
6680,20221,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm really interested in making a language exchange in order to improve my English level. If you are interested in a Spanish-English exchange, let me know!"
6681,20223,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I'm Alex, I've been some years without practising English and I would apreciate a lot having a kind partner to improve my level of English and making some new friends in the way! Improving my French would be great too. Hoping to hear from you!"
6682,20224,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm looking forward to improve my English and stay in touch with a native person.
6684,20227,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm a catalan-spanish native speaker and i'm trying to improve me english and mite nice people and having fun doing it.
6685,20229,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to improve my speaking skills and I think that speaking one of the best option. Of course, I am glad to help anyone with their Spanish."
6686,20230,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am a vwry interested person to improve my English. I am friendly and in a hurry to know people who want to learn languages!
6687,20232,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my english and meet new people here in Vancouver. I arrived here 4 months a go, and I feel my English is the same that when I arrived... It's difficult to meet people from here or talk in English. I'm a funny girl and I like the practise hiking or sports or just take a coffee."
6688,20233,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","For a long time, I couldn't find the way to practice and improve my English, so now this can be the best way :)"
6689,20234,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Andrea, an spanish girl trying to improve my english. I've lived in Barcelona all my life but I love to travel and meet different people and cultures. I'd love to find someone to talk about the life in general and improve my level of english by practicing the conversation. My native languages are spanish and catalan and I'll be happy to help you to improve your level on any of them so you can travel and visit the most beautiful city in Spain."
6690,20240,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Pol, 29 years old from Barcelona. I'd like to practice my conversation skills in English and I'd be glad to help you with your Spanish and/or Catalan. It would be great if we share some hobbies to talk over and I'm always up to make new friends over a cup of coffee."
6691,20244,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to improve my English speaking level with your collaboration. I try to get the C English language certificate and I would like to help you to learn Spanish or Catalan. We'll spend a good time talking.
6692,20246,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm studying Economics at University of Barcelona. (Politics, sports, travels, about life...) I'm looking for someone to exchange english for my native spanish or catalan(if you want to go to Barcelona)."
6693,20247,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, it's Max and I'm 18 years old, I would like to communicate with other people to improve my English So, I like fitness and I'm a Paramedic. I hope to speak to new people around the world and make new friends."
6694,20248,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","If you want to learn or improve your Spanish or Catalan, I’m here. We can talk about current affairs, social issues, art or whatever comes to mind. I’m looking to raise the level of my oral English."
6695,20250,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would be really happy to help you with catalan or spanish in exchange for english. I hope to hear from you soon!
6696,20253,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I lived here since I was born, so I can help you to improve your Spanish and/or Catalan."
6697,20256,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am a retired activity person who like study English. I would like to find English people in Spain who wanted speak with spanish people to learn Spanish.
6698,20257,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I would like to meet people for practicing english, and helping people to learn spanish."
6699,20258,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I’m from Spain and I’m trying to improve my English. I would like to be able to exchange my Spanish with people who speak English, so we help each other."
6700,20259,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm a spanish guy very interested in improve my english fluency and meeting people from other countries. Would be a pleasure to help you with your spanish or catalan and exchange points of view about any topic. I really believe the best way to improve a language is just using it so let's chat or meet if you are around Barcelona Sergio"
6702,20261,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I'm 27 years old and i'm a native Spanish and Catalan speaker. I really want to improve my English skills with a native English speaker. It would be a pleasure to help another person improve their Spanish (or even Catalan) in any way that I can!
6703,20263,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Im a spanish guy who wants to improve his level of english. If you want to learn Spanish and practice how to talk, text me. We can help each other!"
6704,20265,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am looking for someone to talk in English in exchange for Spanish or Catalan practice. Mostly, I am searching for a pen-pal or a Twitter friend. I am openly to talk about anything, since I am a curious person with learning attitudes. My main goal is to achieve enough fluency in order to work abroad as a Spanish teacher or whatever position related to literature as well as journalism."
6706,20267,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I am working as a Project manager and I would like to improve my english because In my current job I hardly speak it and I feel like my english is getting worse. If you want to improve your Spanish/Catalan and have a nice chat you can contact with me!
6707,20268,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I am a Spanish guy looking forwards to improve my English and to begin in my little Italian. I would like to find someone with who chat about anything and have fun learning.
6708,20270,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm from València (Spain) and I would like to enhance, or at least maintain, the level of English that I have. I'm a attentive person and really I'm interested in several issues, such as travels, sports, education, literature, adventures... I have visited some countries around the world and I thing we can speak freely."
6709,20272,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm here to improve my english since the next year I'll take the ""first/B2"" exam. However I'm more than english learner, for instance, I love drinking and speaking with friends until the morning, reading, travel with my wife, sit on the floor and play with my cats, enjoying some meditations, running among the nature, writing,... So I would like to know good, kind, humble people which whom learn english and have interesting and nice time."
6710,20274,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I’m 36 years old, I would like to improve my conversation level due my work. It’s divided into two jobs, camera and video. It will be perfect to find a women to share some time ones a week."
6711,20275,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm from a small beautiful city called Olot and I'm here to improve my English level.
6712,20276,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to meet new people, making friends and learning english. I'm currently studying computer engineering in Barcelona. I am not really into meeting someone face to face nowadays, maybe in the future and knowing well the person yes. My spoken english is really aweful tho I think I could handle a writted conversation pretty well."
6713,20277,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to improve my level of english. Im seraching people te talk with and maybe friends. Text me if u want.
6714,20278,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm civil servant at University of València and I would like to improve my english. I can help you with spanish and catalan languages.
6715,20279,Spanish<br/>Catalan,"[{'language': 'German', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 45, 'proficiency': 'Intermediate'}]",Some practice would be great.
6716,20284,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I can help you to learn spanish.
6717,20286,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to practice and improve my english, in exchange I can help with spanish, I'm from Barcelona!"
6718,20287,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would love to improve my written English. In addition to that, meeting new people and deeping in new cultures could be very interesting. I would also like to help people to improve their written Spanish."
6719,20290,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm living in Gandia and I need to improve my english. In exchange I can teach you spanish or catalan. I can be your turist guide here, too :)"
6720,20295,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, kf you want to learn spanish you can count on me as you help me to learn english (I have to achieve the first level). I live in Sóller but go to Palma is not a problem for me."
6721,20296,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to meet new people and try to have an exchange language!!! :D I'm friendly.. or I try it haha. Happy to help you with your spanish and catalan (as you wish!)
6722,20297,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to practice my English in exchange for Spanish or Catalan mostly because I would like to apply for a job in the UK and currently my speaking is quite bad. Hope anyone can help me and hope I can be helpful too
6723,20298,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Vicent and I would like to improve my speaking English (Level: Intermediate B2/FIRST/5–6,5). My mother tongue is Catalan and Spanish, so if you want to improve it I can help you. I work in the maritime sector, and I love reading, hiking, and eating rice (you know, :)paella). And I'm a fan of FC Barcelona!"
6725,20300,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to improve my English and help others who want to learn Spanish. I am very nice, I love meeting new people and discovering new things :)"
6726,20302,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm funny, I love speak and meet new people. I'm very respectful with everybody and one of my passions is handmade collage. Thanks ;)"
6727,20304,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am Spanish residing in Barcelona at the moment, I would like to improve my listening and speaking, I could help you with your Spanish :D"
6728,20305,Spanish<br/>Catalan,"[{'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi, im looking to meet people, for share experience and learn about new cultures and languages Im interesting on Japanese, i can teach you Spanish. Feel free to contact me"
6729,20307,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",":) - Hi people! I need to practice speak in english, and we can switch my Spanish for your English. Do you think it's OK?"
6730,20309,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my English, especially conversation, so using any app with voice messages would be great, but not required. I'm working as a videogame programmer and I love to write stories. I also like to watch series, to practice martial arts, and I never say no to reading a good book. I'm a bit busy in my everyday life, so sometimes I could be a bit slow to answer. And this is me! Feel free to contact me!"
6731,20310,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Hi I'm Salvador from Catalonia I'd like to talk with people of diferent countries to enjoy and learn about diferent cultures of course I need to encrease the level of my oxidate english ;·)
6732,20313,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Xavi from Barcelona, and I'm looking for someone to learn English, at the same time I can help you improving Spanish or Catalan. I studied English many years in the school, but I don't have enough skills when writing or speaking. I love speaking with people from other countries talking about habits, differences, questions, etc..."
6733,20315,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Apasionate for the sports and other cultures
6734,20316,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to improve my English and become more fluent. Of course I can help you improve your Spanish. Let's get to know each other!
6735,20318,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello everyone, I'm from Spain and I live in Barcelona. I am seeking for someone to exchange languages. I speak native spanish and catalan and I would like to exchange languages with english speakers talking about whatever you want. I use a neutral accent and will be glad to help you to understand and speak a good spanish."
6736,20319,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am an Spanish person living in Barcelona, looking to improve my English. I speak Spanish and Catalan, so if you want to practice any of them please contact me!"
6737,20320,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Greek', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Italian', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hi, I want to improve the languages that I learnt (especially Russian and Greek). I can help you with Spanish or Catalan. I have a little experience teaching Spanish &amp; Catalan for foreigners. Also, I want to start with Chinese. I'm open mind and I'll try to do my best to help you with your Spanish or Catalan."
6738,20321,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm interested in learning and practice english and teaching Spanish. I haven't try this way of communication and I'm very curious to try it.
6739,20322,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I work as a psychologist and I would like to practice my English since I hardly use it at work or with my friends, and I only have the opportunity to improve it when I travel to other countries. I have the FCE but I do not consider that my level is according to the certificate. I am a very open-minded person so I think you can talk to me about any topic, whether it is part of my hobbies or not. Ok with whatsapp and audios too and maybe move to video calls"
6741,20324,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm Judit and I'm from Barcelona. I studied Pedagogy and now I want to improve my English. I’m currently doing an English course but I want to keep practicing with other people so we can learn together in a different way.
6742,20325,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hy friends, im studying an intermediate english level and would like to continue improving talking with new people. At the same time i can help you with your spanish, or catalan if you like. I love travelling and sports in nature. My goal is to reach the B2 english level and get a touristic guide license to change my job."
6743,20327,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm interested in improving my English, especially to understand some podcasts, to go forward in my professional career and to be more confident with my English talking. If I can help others to learn spanish or catalan, thats would be great too."
6744,20329,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I need to improve my English skills, so I decided to do that. I can teach you Spanish and I will be nice. I'm also interested in learning Russian, but i don't know almost anything."
6745,20330,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","My English is intermediate, and I need practice speaking. I attend classes in speaking English but there are not classes because the lock down. I love running, biking, mountain hiking and also fitness activities. I like music, specially 70's and 80's. I love read also."
6746,20332,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",i would like to meet some native english people to improve my english and to share experiencies. I could help with your spanish
6747,20334,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'd like to practice English and I can teach some spanish and or English on exchange.
6748,20335,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi there! I'm a photographer and psychologist working in an advertising agency. I am originally from Barcelona and I had lived 8 years in Paris and 3 years in Madrid. I want to improve my English and I'd also like to find someone to speak French with because my level is fine but I don't want to lose it. I also started learning Portuguese and love it. In exchange, I can help you with your Spanish, Catalan or French. Hope to hear from you soon!"
6749,20336,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my english skills and know people of differents parts of the world, to practice with them.I'm native speaker Spanish and Catalan. I only want learn english so we can exchange language."
6750,20337,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hey! I'm Marta, I'm 24 years old. I'm looking for someone who speaks english, I would like to improve it! I will help you with the Spanish, I have been living in Bcn all my life :)"
6751,20338,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I love to help everybody to improve your spanish or catalán
6752,20339,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm interested in learning American English. I live in Massachusetts (I just moved here with my wife). I would like to meet people from MA with whom to practice my English and learn more about American culture. By the way, I'm a social science teacher, but now I'm looking for Spanish teaching job opportunities. If you want to learn/practice Spanish I could help you as well. We can learn a lot from each other :)"
